name;productUrl;imageUrls/0;imageUrls/1;price;main cat;sub cat;color prop;size;gender;Brand;Store
Haarspange;http://www.hm.com/de/product/02901?article=02901-B;lp.hm.com/hmprod?set=key[source],value[/model/2012/J01 02901 03102 08 1876.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;3,99;Accessories;Haaraccessoires;silber;;women;H&M;H&M
Haarspange;http://www.hm.com/de/product/02901?article=02901-A;lp.hm.com/hmprod?set=key[source],value[/model/2012/J01 02901 05102 06 1876.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=2&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;3,99;Accessories;Haaraccessoires;gold;;women;H&M;H&M
Strumpfhose 200 den;http://www.hm.com/de/product/93990?article=93990-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/1CV 0111609 001 91 3194.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=5&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2015/6AV_0339_001R.jpg]&set=key[rotate],value[-0.05]&set=key[width],value[3551]&set=key[height],value[4152]&set=key[x],value[813]&set=key[y],value[990]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];7,99;fashion;Unterwäsche;schwarz;l;women;H&M;H&M
5er-Pack Strümpfe;http://www.hm.com/de/product/16513?article=16513-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/1GV 0181448 022 00 0000.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;6,99;fashion;Unterwäsche;schwarz;36;women;H&M;H&M
Haardonut Maxi;http://www.hm.com/de/product/21557?article=21557-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/1NV 0203023 001 10 0143.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=2&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;3,99;Accessories;Haaraccessoires;beige;;women;H&M;H&M
Feinstrick-Cardigan;http://www.hm.com/de/product/19460?article=19460-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/1RH 0192081 001 94 8754.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2015/6AV_0246_012R.jpg]&set=key[rotate],value[-0.65]&set=key[width],value[3719]&set=key[height],value[4348]&set=key[x],value[849]&set=key[y],value[161]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];19,99;fashion;Pullover;schwarz;l;women;H&M;H&M
2er-Pack Strumpfhosen 40 den;http://www.hm.com/de/product/16928?article=16928-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/2AE 0200182 001 91 3188.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2015/6AV_0328_005R.jpg]&set=key[rotate],value[-1.3]&set=key[width],value[3509]&set=key[height],value[4102]&set=key[x],value[824]&set=key[y],value[958]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];7,99;fashion;Unterwäsche;schwarz;l;women;H&M;H&M
Sonnenbrille;http://www.hm.com/de/product/19030?article=19030-C;lp.hm.com/hmprod?set=key[source],value[/model/2013/2AE 0207236 001 90 9320.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;6,99;Accessories;Sonnenbrillen;silber;;women;H&M;H&M
Sonnenbrille;http://www.hm.com/de/product/19030?article=19030-B;lp.hm.com/hmprod?set=key[source],value[/model/2013/2AE 0207236 002 90 9319.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=2&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;6,99;Accessories;Sonnenbrillen;gold;;women;H&M;H&M
10er-Pack Haargummis;http://www.hm.com/de/product/22062?article=22062-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/2AQ 0213691 001 15 3682.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;1,99;Accessories;Haaraccessoires;schwarz;;women;H&M;H&M
